999,1,2,2,5,4.6626,0.88671
999,2,1,1,8,4.6787,1.2371
999,3,2,1,5,4.6659,1.2832
999,4,3,1,9,4.747,1.0021
999,5,1,2,5,4.6668,0.89881
999,6,3,2,3,4.6672,1.4154
999,7,2,2,2,4.6546,0.82775
999,8,3,2,5,4.6708,0.8114
999,9,3,2,2,4.6523,1.797
999,10,2,1,9,4.6657,0.80043
999,11,1,2,1,4.6602,0.95598
999,12,1,2,9,4.6995,0.84828
999,13,1,2,4,4.6647,1.4348
999,14,2,1,7,4.6641,0.83555
999,15,3,2,4,4.6595,0.89016
999,16,3,1,2,4.6634,0.8024
999,17,3,1,8,4.6653,0.96514
999,18,3,1,1,4.6822,1.0013
999,19,1,2,7,4.6535,0.81231
999,20,1,1,4,4.6601,0.97292
999,21,2,2,10,4.6564,0.87655
999,22,3,1,4,4.6654,0.88414
999,23,1,1,9,4.6559,1.2098
999,24,3,1,5,4.6578,1.2914
999,25,3,1,3,4.6579,0.9251
999,26,3,1,10,4.6618,1.0356
999,27,1,1,3,4.6565,0.82471
999,28,3,1,7,4.6531,0.81268
999,29,3,1,6,4.6671,0.84685
999,30,2,2,8,4.6535,0.96264
999,31,1,1,7,4.6643,1.2336
999,32,1,2,8,4.6631,1.3358
999,33,1,1,5,4.6572,1.0231
999,34,2,2,6,4.6686,1.0628
999,35,1,2,10,4.663,1.2525
999,36,3,2,7,4.6657,0.94964
999,37,1,1,6,4.6634,0.91699
999,38,3,2,8,4.6647,1.3333
999,39,2,2,4,4.6665,0.8652
999,40,2,1,2,4.6574,0.84186
999,41,3,2,1,4.6669,1.9491
999,42,2,1,10,4.6557,0.89251
999,43,2,2,9,4.656,1.4257
999,44,2,1,6,4.6569,0.95698
999,45,3,2,6,4.6636,0.81817
999,46,1,1,2,4.6588,0.88923
999,47,1,2,2,4.6568,1.1083
999,48,2,1,8,4.6552,1.1268
999,49,1,2,6,4.6551,1.0092
999,50,2,2,7,4.6566,1.3911
999,51,3,2,9,4.6675,0.9645
999,52,3,2,10,4.6546,0.91063
999,53,2,2,1,4.6633,1.0522
999,54,1,1,10,4.6602,1.0883
999,55,2,1,1,4.6657,1.3655
999,56,2,1,3,4.6581,0.80688
999,57,2,1,4,4.6604,1.4549
999,58,2,2,3,4.6589,1.2895
999,59,1,1,1,4.6643,0.96725
999,60,1,2,3,4.6533,1.1128
